Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
ten,2015,T,2.66667,0.06234,0.11719,1.47,130.074,0.5994,32.84,38.49,0.77778
ten,2015,H,3.35,0.36551,0.78125,1.7,103.483,0,68.79,106.75,0.64286
agg,2016,A,3.8,NA,NA,NA,NA,NA,50.07,78.82,0.64706
agg,2016,A,3.8,NA,NA,NA,NA,NA,42,42,1
agg,2016,A,3.05,NA,NA,NA,NA,NA,81.29,94.84,0.85714
agg,2016,A,4.1,NA,NA,NA,NA,NA,20.15,24.29,0.83333
agg,2016,A,3.26667,NA,NA,NA,NA,NA,19.84,24.8,0.8
agg,2016,A,3.7,NA,NA,NA,NA,NA,39,136.5,0.28571
agg,2016,A,2.63333,NA,NA,NA,NA,NA,132.05,130.91,1
agg,2016,A,2.86667,NA,NA,NA,NA,NA,49.18,67.62,0.72727
agg,2016,A,3.46667,NA,NA,NA,NA,NA,NA,NA,0
agg,2016,A,3.63333,NA,NA,NA,NA,NA,12.18,12.5,1
agg,2016,A,3.33333,NA,NA,NA,NA,NA,86.49,108.49,0.8
agg,2016,A,3.56667,NA,NA,NA,NA,NA,82.65,112.29,0.71429
agg,2016,A,3.3,NA,NA,NA,NA,NA,NA,0,NA
agg,2016,A,3.66667,NA,NA,NA,NA,NA,30.42,38.6,0.8
agg,2016,A,3.2,NA,NA,NA,NA,NA,42.18,75.93,0.55556
agg,2016,A,3.2,NA,NA,NA,NA,NA,47.79,104.28,0.45833
agg,2016,A,3.43333,NA,NA,NA,NA,NA,72.3,118.77,0.6087
agg,2016,A,3.2,NA,NA,NA,NA,NA,40,41.85,1
agg,2016,A,3.16667,NA,NA,NA,NA,NA,1.38,2.77,0.5
agg,2016,A,3.43333,NA,NA,NA,NA,NA,17.61,30.64,0.59091
hyb,2016,H,3.46667,NA,NA,NA,NA,NA,36.8,58.31,0.63158
hyb,2016,H,2.8,NA,NA,NA,NA,NA,24.07,24.02,1
hyb,2016,H,3.5,NA,NA,NA,NA,NA,124.42,154.53,0.80682
hyb,2016,H,2.6,NA,NA,NA,NA,NA,73.88,100.91,0.73171
hyb,2016,H,NA,NA,NA,NA,NA,NA,NA,0,NA
hyb,2016,H,3.06667,NA,NA,NA,NA,NA,48.31,49.24,1
hyb,2016,H,2.3,NA,NA,NA,NA,NA,4.29,7.07,0.6
hyb,2016,H,2.6,NA,NA,NA,NA,NA,11.49,13.79,0.83333
hyb,2016,H,3.15,NA,NA,NA,NA,NA,56.27,65.92,0.85366
hyb,2016,H,2.5,NA,NA,NA,NA,NA,57.18,103.92,0.55172
hyb,2016,H,NA,NA,NA,NA,NA,NA,41.44,48.75,0.85
ten,2016,A,3.53333,0.67693,3.04688,1.73,172.287,0,95.21,130.43,0.72727
ten,2016,H,3.03333,0.63487,0.82031,1.83,19.749,3.3626,153.71,212.26,0.72414
ten,2016,H,3.4,0.56956,3.04688,1.45,127.244,0.0221,48.46,59.23,0.81818
ten,2016,T,2.86667,0.19158,0.46875,1.5,104.239,0,125.62,150.74,0.83333
ten,2016,H,2.94,0.49887,1.44531,2.02,168.454,10.5996,87.51,197.41,0.44262
ten,2016,A,3.65,0.86021,2.69531,1.925,NA,NA,10.8,20.67,0.5
ten,2016,H,2.73333,0.69172,1.32813,1.77,16.775,0.3551,12.32,11.86,1
ten,2016,H,3.23333,0.50022,1.67969,1.67,130.343,0,174.42,191.86,0.90909
ten,2016,H,3.03333,0.43875,1.83594,1.5,99.521,0,36.57,51.19,0.71429
agg,2017,H,NA,NA,NA,NA,NA,NA,13.85,50.77,0.27273
agg,2017,H,3.5,NA,NA,NA,NA,NA,NA,NA,NA
agg,2017,H,3.66667,0.4328,NA,NA,NA,NA,NA,NA,NA
