Plant_ID,Block,Source,Treatment,date_sampling,days_setup,nectar_vl,nectar_conc,fl_width,fl_lenght,mean_size,diameter,buds,flowers,buds_2,flowers_2,init_fruits,init_fruits_2,mature_fruits,mature_fruits_2,tot_fruits,tot_fruits2,fruit_tot,mean_seeds,seedset
SC83,6,SC,D,2021-09-10,29,0.732580645,44.45,28.89,31.035,29.94329892,6.93,2,6,2,5,121,131,30,0,151,131,141,5.6,733.6
SC84,5,SC,D,2021-08-26,14,0.873387097,35.84,35.925,53.825,43.97343658,6.31,3,13,5,15,60,81,0,4,60,85,72.5,5.1,433.5
SC86,8,SC,C,2021-09-03,22,1.6875,35.55,37.08,47.32,41.88825134,6.64,2,6,2,2,58,100,0,3,58,103,80.5,5.1,525.3
SC87,5,SC,D,2021-08-25,13,0.678870968,42.4,42.23,44.705,43.4498809,5.53,4,22,0,1,131,139,0,0,131,139,135,4.2,583.8
SC89,5,SC,D,2021-08-25,13,0.873387097,41.5,31.55,33.89,32.69907491,5.1,1,9,1,3,22,26,75,78,97,104,100.5,4.1,426.4
SC9,5,SC,C,2021-08-25,13,2.17109375,41.85,47.065,56.03,51.35223413,5.13,3,16,0,2,79,128,3,26,82,154,118,4.3,662.2
SC90,7,SC,D,2021-08-27,15,0.747580646,38.2,24.935,29.315,27.03644808,7.26,3,9,0,0,66,87,10,6,76,93,84.5,3.7,344.1
SC91,1,SC,C,2021-08-13,1,2.28046875,40.85,57.02,59.75,58.36904145,5.01,7,3,5,3,85,84,9,21,94,105,99.5,3.6,378
SC92,5,SC,C,2021-08-25,13,2.05390625,39.8,52.65,61.79,57.03721154,7.61,4,9,0,0,122,123,23,42,145,165,155,4.4,726
SC94,5,SC,C,2021-08-27,15,4.1359375,43,46.895,56.91,51.66037601,5.38,1,7,2,0,76,102,0,0,76,102,89,5.5,561
SC95,8,SC,C,2021-09-03,22,2.275,38.6,38.87,44.43,41.55711852,5.19,7,10,2,2,77,106,0,10,77,116,96.5,5.4,626.4
SC96,4,SC,PR,2021-09-01,20.5,1.88203125,37.7,40.265,42.685,41.45734585,7.62,20,29,10,10,129,129,5,3,134,132,133,5.4,712.8
SC97,5,SC,PR,2021-09-15,34,2.2203125,38.45,42.14,45.985,44.02053952,4.82,1,7,4,2,92,90,33,41,125,131,128,4.3,563.3
SC98,8,SC,PR,2021-09-03,22.5,1.68671875,37.9,33.565,39.865,36.57962172,6.17,0,0,0,0,97,82,40,47,137,129,133,3.8,490.2
SC99,7,SC,D,2021-08-27,15,0.476129033,37.35,29.475,42.95,35.58020868,6.46,4,8,2,6,47,50,32,10,79,60,69.5,4.7,282
SS1,3,SS,C,2021-08-15,3,1.88125,38.65,46.05,52.925,49.36796785,5.06,4,15,4,4,109,141,2,14,111,155,133,5.4,837
SS10,3,SS,C,2021-08-15,3,1.990625,39.8,53.975,62.74,58.19271002,5.54,11,4,36,6,0,3,0,0,0,3,1.5,1,3
SS11,3,SS,C,2021-08-16,4,1.7125,38,40.955,37.94,39.41868466,4.73,10,6,3,13,53,87,3,1,56,88,72,5.7,501.6
SS12,3,SS,C,2021-08-15,3,3.0640625,39.6,53.545,58.89,56.15394065,7.71,3,2,0,1,205,184,7,56,212,240,226,4.5,1080
SS13,3,SS,C,2021-08-15,3,1.17265625,37.5,50.375,61.065,55.46304513,4.99,11,6,4,0,21,51,0,1,21,52,36.5,2.4,124.8
SS14,3,SS,C,2021-08-16,4,1.11796875,37.85,42.19,52.75,47.17544382,5.98,18,27,6,4,86,175,2,11,88,186,137,4.8,892.8
